Ref,Val,Package,PosX,PosY,Rot,Side
"C4","6.8nF","C_0201_0603Metric_L",1.940560,-10.944860,180.000000,bottom
"C5","120nF","C_0201_0603Metric_L",0.252800,-4.583120,180.000000,bottom
"C8","GRM033R61C473KE84D","C_0201_0603Metric_L",-19.174460,-3.502660,180.000000,bottom
"C9","100nF","C_0201_0603Metric_L",3.164840,-10.942320,180.000000,bottom
"C10","GRM033R61A105ME15D","R_0201_0603Metric_ERJ_L",-14.831060,-4.061460,180.000000,bottom
"C11","100nF","C_0201_0603Metric_L",4.400060,-6.527800,270.000000,bottom
"C12","C_Small","C_0805_2012Metric_L",-16.482060,-7.610260,90.000000,bottom
"C13","GRM033R61A105ME15D","C_0201_0603Metric_L",-24.762460,-8.354060,270.000000,bottom
"C14","GRM155R60J475ME87D","C_0402_1005Metric_L",-17.244060,-4.848860,180.000000,bottom
"C15","GRM155R60J475ME87D","C_0402_1005Metric_L",-15.567660,-4.823460,0.000000,bottom
"C16","GRM155R60J106ME15D","C_0402_1005Metric_L",-18.945860,-4.848860,180.000000,bottom
"C17","GRM155R60J106ME15D","C_0402_1005Metric_L",-22.171660,-8.735060,270.000000,bottom
"C18","GRM033R61A104ME15D","C_0201_0603Metric_L",-16.990060,-3.502660,180.000000,bottom
"C19","GRM033R61A104ME15D","C_0201_0603Metric_L",-15.923260,-3.528060,0.000000,bottom
"C20","GRM033R61A104ME15D","C_0201_0603Metric_L",-18.082260,-3.477260,0.000000,bottom
"C21","GRM033R61A104ME15D","C_0201_0603Metric_L",-18.950260,-8.201660,0.000000,bottom
"C22","GRM033R61A104ME15D","C_0201_0603Metric_L",-17.853660,-8.760460,180.000000,bottom
"C23","GRM033R61A105ME15D","C_0201_0603Metric_L",-23.416260,-10.259060,0.000000,bottom
"C24","GRM155R60J106ME15D","C_0402_1005Metric_L",-21.282660,-8.735060,270.000000,bottom
"C25","GRM033R61A105ME15D","C_0201_0603Metric_L",-24.762460,-9.852660,90.000000,bottom
"C26","GRM033R71A103KA01D","C_0201_0603Metric_L",-16.990060,-4.086860,180.000000,bottom
"C27","GRM033R71A103KA01D","C_0201_0603Metric_L",-15.923260,-4.086860,0.000000,bottom
"C28","GRM033R71A103KA01D","C_0201_0603Metric_L",-18.082260,-4.086860,0.000000,bottom
"C29","GRM033R71A103KA01D","C_0201_0603Metric_L",-18.945860,-8.760460,0.000000,bottom
"C30","GRM033R71A103KA01D","C_0201_0603Metric_L",-17.853660,-8.201660,180.000000,bottom
"D3","LXZ1-PR01","LED_LXZ1_PR01_L",-18.117160,8.170740,90.000000,bottom
"D4","LXZ1-PR01 (Yellow)","LED_LXZ1_PR01_L",-18.117160,9.647980,270.000000,bottom
"L2","BLM15HD102SN1D","L_0402_1005Metric",-24.102060,-3.096260,180.000000,bottom
"L3","ADL3225V-470MT-TL000","L_1210_3225Metric_L",-23.619460,-5.737860,270.000000,bottom
"L4","BLM15HD102SN1D","L_0402_1005Metric",-15.567660,-5.737860,0.000000,bottom
"L5","BLM15HD102SN1D","L_0402_1005Metric",-18.945860,-5.737860,180.000000,bottom
"R3","ERJ-1GEF49R9C","R_0201_0603Metric_ERJ_L",-19.174460,-4.086860,0.000000,bottom
"R4","ERJ-1GEF3321C","R_0201_0603Metric_ERJ_L",-13.611860,-6.347460,180.000000,bottom
"R5","ERJ-1GEF1022C","R_0201_0603Metric_ERJ_L",-13.876020,-4.345940,270.000000,bottom
"R6","ERJ-1GEF1003C","R_0201_0603Metric_ERJ_L",-14.145260,-5.179060,180.000000,bottom
"R7","ERJ-1GEF1022C","R_0201_0603Metric_ERJ_L",-14.828520,-3.500120,0.000000,bottom
"R8","ERJ-1GEF3321C","R_0201_0603Metric_ERJ_L",-13.611860,-5.763260,180.000000,bottom
"R9","10K","R_0201_0603Metric_ERJ_L",4.401820,-7.863840,270.000000,bottom
"R10","10K","R_0201_0603Metric_ERJ_L",1.644040,-4.578040,0.000000,bottom
"R11","MMBT3904LP-7B","R_0201_0603Metric_ERJ_L",-21.833840,-6.652260,90.000000,bottom
"U3","BNO055","LGA28R50P4X10_380X520X100",1.943760,-7.905440,270.000000,bottom
"U4","TLV7103318DSER","SON_6_P50_150X150X80L50X25L",-23.568660,-8.963660,0.000000,bottom
"U6","MT9P031","iLCC48P70_1000X1000X135L80X40N",-18.172760,-31.146760,180.000000,bottom
